Sort,VcfOrder,SampID,Voucher,Year_coll,Cluster,Species,County,Ecoregion,Longitude,Latitude
102,MVZCCGP-CaOr116_I-E11,MVZCCGP-CaOr116_I-E11,LSUMZ B23160,1994,Gambels,Callipepla_gambelii,San Bernardino County,Mojave Desert,-116.054,34.138
103,MVZCCGP-CaOr13_I-B02,MVZCCGP-CaOr13_I-B02,MVZ:Bird:190758,2011,CC_NWCal,Callipepla_californica,Contra Costa County,Central California Coast,-122.1164285,37.9814868
104,MVZCCGP-CaOr28_II-D07,MVZCCGP-CaOr28_II-D07,LACM:Bird:105976,1990,CC_NWCal,Callipepla_californica,Lake County,Northern California Coast Ranges,-122.6160965,38.7523041
105,MVZCCGP-CaOr43_I-A05,MVZCCGP-CaOr43_I-A05,MVZ uncataloged,2020,CC_NWCal,Callipepla_californica,Mendocino County,Northern California Coast,-123.33254,39.68102
106,MVZCCGP-CaOr91_I-F09,MVZCCGP-CaOr91_I-F09,MVZ:Bird:190550,2007,CC_NWCal,Callipepla_californica,Shasta County,Southern Cascades,-121.86577,40.456565
107,MVZCCGP-CaOr25_I-D03,MVZCCGP-CaOr25_I-D03,MVZ uncataloged,2008,CC_SN,Callipepla_californica,Kern County,Sierra Nevada Foothills,-118.44392,35.58906
108,MVZCCGP-CaOr38_I-E04,MVZCCGP-CaOr38_I-E04,MVZ:Bird:184823,2009,CC_NWCal,Callipepla_californica,Marin County,Northern California Coast,-122.856389,38.044643
109,MVZCCGP-CaOr48_I-F05,MVZCCGP-CaOr48_I-F05,MVZ:Bird:183076,2006,CC_SN,Callipepla_californica,Monterey County,Central California Coast,-121.54965,36.38688
110,MVZCCGP-CaOr32_I-H03,MVZCCGP-CaOr32_I-H03,LACM:Bird:115754,2011,CC_SN,Callipepla_californica,Los Angeles County,Southern California Coast,-118.367275,34.287322
111,MVZCCGP-CaOr87_I-B09,MVZCCGP-CaOr87_I-B09,MVZ:Bird:190540,2010,CC_NWCal,Callipepla_californica,Santa Clara County,Central Valley Coast Ranges,-121.737,37.3816
112,MVZCCGP-CaOr89_I-D09,MVZCCGP-CaOr89_I-D09,MVZ:Bird:184694,2009,CC_NWCal,Callipepla_californica,Shasta County,Northern California Interior Coast Ranges,-122.21755,40.4178
113,MVZCCGP-CaOr100_I-E10,MVZCCGP-CaOr100_I-E10,MVZ:Bird:190551,2007,CC_NWCal,Callipepla_californica,Tehama County,Southern Cascades,-121.86118,40.44072
114,MVZCCGP-CaOr104_I-H10,MVZCCGP-CaOr104_I-H10,LACM:Bird:115753,2011,CC_SN,Callipepla_californica,Ventura County,Southern California Coast,-118.839282,34.193351
115,MVZCCGP-CaOr23_I-B03,MVZCCGP-CaOr23_I-B03,MVZ uncataloged,2008,CC_SN,Callipepla_californica,Kern County,Sierra Nevada Foothills,-118.44392,35.58906
116,MVZCCGP-CaOr3_II-A07,MVZCCGP-CaOr3_II-A07,CAS:ORN:83913,1987,CC_SN,Callipepla_californica,Amador  County,Sierra Nevada,-120.5726,38.5184
117,MVZCCGP-CaOr44_I-B05,MVZCCGP-CaOr44_I-B05,MVZ uncataloged,2020,CC_NWCal,Callipepla_californica,Mendocino County,Northern California Coast,-123.33254,39.68102
118,MVZCCGP-CaOr31_I-G03,MVZCCGP-CaOr31_I-G03,LACM:Bird:114960,2009,CC_SN,Callipepla_californica,Los Angeles County,Southern California Coast,-118.081173,34.165722
119,MVZCCGP-CaOr59_I-G06,MVZCCGP-CaOr59_I-G06,SDMNH:Bird:52972,2011,CC_SoCal,Callipepla_californica,Riverside County,Southern California Mountains and Valleys,-116.89892,33.75185
120,MVZCCGP-CaOr68_I-E07,MVZCCGP-CaOr68_I-E07,SDMNH:Bird:51197,2005,CC_SoCal,Callipepla_californica,San Diego County,Southern California Coast,-117.257809,32.9940104
121,MVZCCGP-CaOr70_I-G07,MVZCCGP-CaOr70_I-G07,SDMNH:Bird:52685,2010,CC_SoCal,Callipepla_californica,San Diego County,Southern California Coast,-117.1256,33.0271
122,MVZCCGP-CaOr72_I-H07,MVZCCGP-CaOr72_I-H07,SDMNH:Bird:53322,2011,CC_SoCal,Callipepla_californica,San Diego County,Southern California Coast,-117.0786,32.8293
123,MVZCCGP-CaOr73_I-A08,MVZCCGP-CaOr73_I-A08,SDMNH:Bird:53471,2010,CC_SoCal,Callipepla_californica,San Diego County,Colorado Desert,-116.3789,33.2319
